lng,lat,times
118.49,30.67,2
118.49,29.08,1
118.49,30.53,2
118.49,30.1,1
118.49,30.86,2
118.49,29.18,2
118.49,30.13,1
118.49,29.71,2
118.49,30.57,3
118.49,30.63,3
118.5,30.49,2
118.5,30.59,2
118.5,29.84,8
118.5,30.95,1
118.5,29.83,8
118.5,30.55,1
118.5,29.69,7
118.5,29.37,3
118.5,29.24,2
118.5,30.47,4
118.5,29.9,7
118.5,30.78,4
118.5,30.62,4
118.5,30.15,4
118.5,30.96,1
118.5,29.72,5
118.5,30.67,2
118.5,29.84,5
118.5,30.94,1
118.51,29.52,4
118.51,29.42,2
118.51,30.54,2
118.51,29.38,2
118.51,29.75,5
118.51,29.93,7
118.51,29.97,7
118.51,29.27,2
118.51,29.56,4
118.51,30.57,1
118.51,29.92,5
118.51,29.21,3
118.52,29.16,3
118.52,29.07,4
118.52,30.84,1
118.52,30.47,3
118.52,29.13,3
118.52,30.43,2
118.52,30.9,2
118.52,30.16,1
118.52,29.92,7
118.52,30.55,3
118.52,30.31,1
118.52,30.02,4
118.52,29.97,5
118.52,29.1,2
118.53,30.73,4
118.53,30.45,1
118.53,30.67,3
118.53,30.08,4
118.53,29.08,4
118.53,30.57,2
118.53,30.43,3
118.53,29.67,6
118.53,30.43,2
118.53,29.15,4
118.53,29.11,3
118.53,29.35,3
118.53,29.97,5
118.53,30.35,4
118.54,29.1,1
118.54,29.36,4
118.54,29.05,2
118.54,29.39,4
118.54,29.52,1
118.54,29.45,3
118.54,30.38,1
118.54,30.32,4
118.54,30.99,1
118.54,30.43,4
118.54,29.72,7
118.54,30.37,2
118.54,29.73,7
118.54,29.72,5
118.55,30.08,4
118.55,30.14,4
118.55,30.9,4
118.55,30.74,3
118.55,29.32,2
118.55,29.84,5
118.55,30.96,1
118.55,30.06,4
118.55,30.49,3
118.55,29.77,6
118.55,30.47,3
118.55,30.44,2
118.55,29.01,2
118.55,29.19,4
118.56,29.95,6
118.56,29.74,5
118.56,30.89,2
118.56,29.08,4
118.56,30.35,2
118.56,30.98,4
118.56,30.05,4
118.56,30.36,3
118.56,30.27,2
118.56,29.04,1
118.56,29.32,1
118.56,29.5,3
118.56,29.17,4
118.56,29.55,3
118.56,29.07,2
118.56,30.87,4
118.57,29.2,1
118.57,29.74,7
118.57,30.94,1
118.57,30.35,1
118.57,30.8,2
118.57,29.69,5
118.57,30.34,4
118.57,29.83,7
118.57,29.22,3
118.57,31,1
118.57,30.11,1
118.57,30.77,1
118.57,30.75,2
118.57,30.27,1
118.57,29.82,5
118.58,30.57,1
118.58,30.4,1
118.58,29.05,1
118.58,30.92,2
118.58,29.16,2
118.58,29.99,7
118.58,29.57,4
118.58,30.74,2
118.58,30.39,4
118.58,29.71,5
118.58,29.94,6
118.58,29.24,3
118.58,30.03,1
118.58,30.54,2
118.59,30.25,2
118.59,30.32,4
118.59,30.03,2
118.59,29.82,5
118.59,29.22,1
118.59,29.54,2
118.59,29.31,3
118.59,29.5,1
118.59,30.95,1
118.59,29.42,3
118.59,30.92,3
118.59,29.51,1
118.59,30.08,4
118.59,29.43,2
118.59,29.33,1
118.59,29.76,5
118.59,30.15,1
118.59,29.04,3
118.59,30.18,1
118.59,30.37,1
118.59,30,4
118.59,30.15,4
118.59,30.41,2
118.59,30.04,1
118.59,29.92,7
118.59,30.11,4
118.6,29.39,3
118.6,30.63,1
118.6,29.28,2
118.6,30.7,3
118.6,30.01,1
118.6,30.88,1
118.6,29.53,2
118.6,29.61,8
118.6,29.66,8
118.6,29.01,1
118.6,29.04,2
118.6,30.44,2
118.6,29.76,6
118.61,30.93,3
118.61,30.93,2
118.61,29.75,7
118.61,29.05,1
118.61,30.45,1
118.61,29.03,3
118.61,29.14,3
118.61,29.64,8
118.61,29.28,2
118.61,29.56,3
118.61,30.64,4
118.61,29.77,8
118.61,29.22,1
118.61,30.01,3
118.61,29.4,3
118.61,30.2,2
118.62,29.04,2
118.62,29.23,1
118.62,29,2
118.62,30.81,4
118.62,30.8,1
118.62,30.31,2
118.62,30.31,2
118.62,30.68,1
118.62,29.05,1
118.62,30.91,3
118.62,30.39,4
118.62,30.57,2
118.62,29.13,2
118.62,29.51,2
118.62,29.86,6
118.62,29.83,5
118.62,29.65,7
118.62,29.79,6
118.62,30.86,3
118.62,30.54,4
118.63,29.05,3
118.63,29.32,4
118.63,29.54,4
118.63,30.79,4
118.63,30.17,2
118.63,30.81,3
118.63,29.13,1
118.63,30.55,1
118.63,29.83,8
118.63,30.37,2
118.63,29.82,7
118.63,29.87,6
118.63,29.57,3
118.63,29.87,7
118.63,29.98,5
118.64,30.64,3
118.64,30.02,1
118.64,30.85,2
118.64,29.29,4
118.64,30.59,2
118.64,30.21,1
118.64,29.44,4
118.64,30.35,1
118.64,30.3,4
118.64,30.63,3
118.64,29.96,6
118.64,29.75,7
118.64,29.41,2
118.64,29.98,7
118.64,29.57,4
118.64,30.91,4
118.64,29.74,8
118.64,30.79,2
118.64,30,4
118.64,29.08,1
118.64,30.2,3
118.65,30.65,1
118.65,29.49,2
118.65,29.84,7
118.65,29.66,8
118.65,30.96,4
118.65,30.54,4
118.65,30.01,2
118.65,30.31,1
118.65,30.47,4
118.65,29.27,4
118.65,29.07,1
118.65,30.99,3
118.65,29.97,8
118.65,29.91,5
118.65,30.82,4
118.65,30.44,1
118.66,29.07,4
118.66,29.29,1
118.66,29.09,3
118.66,29.09,4
118.66,29.73,7
118.66,30.8,4
118.66,30.03,4
118.66,29.07,2
118.66,29.68,8
118.66,29.73,6
118.66,29.95,7
118.67,29.91,6
118.67,30.2,2
118.67,30.85,2
118.67,30.66,1
118.67,29.22,3
118.67,29.19,4
118.67,29.66,7
118.67,30,4
118.67,30.24,2
118.67,30.9,1
118.67,29.83,7
118.67,29.96,7
118.67,29.88,7
118.67,30.86,4
118.67,30.09,3
118.67,29.2,4
118.67,30.27,4
118.67,30.51,4
118.67,30.3,1
118.67,30.85,2
118.67,30.81,4
118.67,30.26,4
118.68,30.58,4
118.68,30.97,3
118.68,30.39,4
118.68,30.77,3
118.68,29.2,4
118.68,30.04,1
118.68,30.84,1
118.68,30.19,3
118.68,30.49,3
118.68,29.38,1
118.68,29.04,1
118.68,29.87,5
118.68,29.55,2
118.68,29.37,4
118.68,30.91,4
118.68,30.76,1
118.68,29.44,2
118.68,29.13,1
118.68,29.07,4
118.68,29.69,8
118.68,30.79,3
118.69,29.69,7
118.69,30.12,3
118.69,29.71,6
118.69,29.97,7
118.69,29.83,5
118.69,30.85,2
118.69,30.77,3
118.69,29.75,8
118.69,30.48,2
118.69,30.81,4
118.69,29.42,1
118.69,29.71,8
118.69,29.46,1
118.69,29.73,7
118.69,30.76,1
118.69,30.42,3
118.7,29.38,1
118.7,29.33,2
118.7,30.76,1
118.7,29.31,1
118.7,30.5,1
118.7,29.93,6
118.7,30.12,1
118.7,30,3
118.7,29.88,8
118.7,29.06,2
118.7,30.3,1
118.7,30.52,1
118.7,30.36,1
118.7,29.17,1
118.71,30.52,4
118.71,29.84,6
118.71,29.82,6
118.71,30.11,1
118.71,29.05,1
118.71,30.03,4
118.71,29.7,7
118.71,29.92,8
118.71,30.69,2
118.71,29.5,1
118.71,29.14,2
118.71,30.51,2
118.71,30.1,3
118.71,29.51,3
118.71,30.99,3
118.71,30.96,1
118.71,29.88,6
118.71,29.28,3
118.71,29.48,2
118.71,29.98,6
118.71,30.34,3
118.71,29.89,7
118.72,30.05,4
118.72,29.26,3
118.72,30.75,4
118.72,29.57,1
118.72,30.6,1
118.72,30.68,4
118.72,29.71,5
118.72,29.73,8
118.72,29.27,3
118.72,29.99,6
118.72,29.88,8
118.72,30.39,4
118.72,29.18,2
118.72,30.64,1
118.72,29.07,2
118.73,30.43,2
118.73,29.52,3
118.73,30.42,1
118.73,29.85,6
118.73,30.58,2
118.73,29.96,8
118.73,30.7,4
118.73,29.55,1
118.73,30.6,1
118.73,30.62,4
118.73,30.46,3
118.73,30.6,3
118.73,30.22,2
118.73,29.73,7
118.73,30.81,2
118.74,29.88,6
118.74,30.09,4
118.74,30.85,1
118.74,30.86,2
118.74,30.75,3
118.74,29.48,1
118.74,30.79,2
118.74,29.97,7
118.74,30.74,4
118.74,29.77,5
118.74,29.05,4
118.74,29.77,6
118.74,29.1,3
118.74,30.61,2
118.74,29.16,4
118.75,29.5,3
118.75,30.01,2
118.75,29.05,4
118.75,30.07,3
118.75,30.11,1
118.75,30.67,2
118.75,29.26,2
118.75,29.24,4
118.75,29.13,2
118.75,30.42,4
118.75,29.3,3
118.75,29.11,3
118.75,30.07,4
118.75,29.69,8
118.75,30.33,2
118.75,29.47,2
118.75,30.99,4
118.76,30.69,2
118.76,29.86,6
118.76,29.95,7
118.76,29.2,4
118.76,30.85,2
118.76,29.33,1
118.76,29.44,1
118.76,29.49,1
118.76,29.97,7
118.76,30.19,3
118.76,30.55,3
118.76,30.33,1
118.76,30.58,3
118.76,30.37,2
118.76,30.75,4
118.76,29.13,1
118.76,30.83,2
118.76,29.04,3
118.76,29.42,4
118.77,30.75,3
118.77,29.3,2
118.77,30.38,4
118.77,29.72,5
118.77,30.4,3
118.77,29.64,8
118.77,29.97,5
118.77,29.36,4
118.77,29.71,8
118.77,30.08,3
118.77,29.5,2
118.77,30.69,2
118.77,29.91,7
118.77,30.55,2
118.77,30.51,2
118.77,30.26,4
118.77,29.36,3
118.77,30.45,3
118.78,29.88,6
118.78,29.74,7
118.78,29.6,7
118.78,30.29,1
118.78,29.6,7
118.78,29.51,3
118.78,29.03,1
118.78,29.27,2
118.78,29.41,4
118.78,30,1
118.78,29.19,3
118.78,30.35,1
118.78,30.35,2
118.78,29.28,4
118.78,29.25,4
118.78,30.21,4
118.78,30.14,3
118.79,30.27,1
118.79,30.62,2
118.79,30.46,1
118.79,30.98,1
118.79,29.12,2
118.79,30.9,4
118.79,29.49,3
118.79,29.32,1
118.79,29.84,8
118.79,30.05,4
118.79,29.24,1
118.79,30.73,1
118.79,29.34,1
118.79,30.81,4
118.79,29.62,5
118.8,30.1,4
118.8,29.04,2
118.8,29.26,3
118.8,29.03,1
118.8,30.25,2
118.8,30.33,3
118.8,30.69,3
118.8,30,2
118.8,30.08,4
118.8,29.4,1
118.8,29.27,1
118.8,29.97,6
118.8,30.73,1
118.8,29.21,1
118.8,29.16,1
118.8,30.11,3
118.8,29.97,5
118.8,29.8,6
118.8,30.44,1
118.8,30.35,1
118.8,29.83,8
118.8,30.76,2
118.81,30.88,4
118.81,30.7,2
118.81,29.22,1
118.81,30.27,3
118.81,29.37,4
118.81,30.99,1
118.81,29.62,6
118.81,29.7,6
118.81,30.47,1
118.81,30.99,4
118.81,29.04,4
118.81,29.47,1
118.81,30.47,2
118.81,29.58,1
118.81,30.17,2
118.81,29.75,7
118.81,30.41,3
118.82,29.56,2
118.82,30.04,1
118.82,29.56,1
118.82,29.57,3
118.82,30.96,3
118.82,30.28,3
118.82,29.48,3
118.82,30.2,1
118.82,29.4,1
118.82,29.02,1
118.83,30.16,1
118.83,30.48,4
118.83,29.17,1
118.83,29.08,4
118.83,29.22,2
118.83,29.51,4
118.83,30.22,2
118.83,30.24,4
118.83,29.43,2
118.83,30.57,4
118.83,30.3,2
118.83,30.76,4
118.83,30.18,4
118.83,30.28,3
118.83,30.71,4
118.83,29.66,7
118.83,31,3
118.83,29.14,4
118.84,29.26,1
118.84,30.75,3
118.84,29.84,5
118.84,29.17,1
118.84,29.89,6
118.84,30.42,2
118.84,29.83,7
118.84,30.62,3
118.84,30.55,4
118.84,29.27,3
118.84,30.85,3
118.84,30.48,4
118.84,30.21,2
118.84,29.93,7
118.84,29.27,3
118.84,30.54,4
118.85,29.92,8
118.85,29.48,3
118.85,29.2,2
118.85,29.7,6
118.85,30.15,1
118.85,29.37,3
118.85,30.66,2
118.85,30.59,2
118.85,29.01,2
118.85,30.26,4
118.85,29.9,7
118.85,30.84,1
118.85,30.41,4
118.85,29.16,2
118.85,30.54,2
118.86,29.43,1
118.86,29.73,8
118.86,30.92,3
118.86,29.43,2
118.86,29.08,3
118.86,29.4,3
118.86,29.86,5
118.86,30.9,3
118.86,29.88,7
118.86,30.23,2
118.86,29.88,7
118.86,30.53,4
118.86,29.63,5
118.86,30.66,3
118.87,29.37,2
118.87,30.43,3
118.87,29.53,4
118.87,30.75,4
118.87,29.41,3
118.87,30.76,4
118.87,30.55,4
118.87,30.19,2
118.87,30.43,3
118.87,29.34,1
118.87,29.12,2
118.87,29.05,3
118.87,30.91,4
118.87,30.07,4
118.87,29.21,1
118.87,30.17,2
118.87,30.6,3
118.87,29.58,2
118.87,30.21,2
118.87,30.44,2
118.88,29.84,6
118.88,30.36,2
118.88,30.23,4
118.88,29.57,1
118.88,29.18,3
118.88,29.47,4
118.88,30.17,3
118.88,29.76,8
118.88,30.56,1
118.88,29.18,4
118.88,30.2,2
118.88,29.86,6
118.88,29.54,3
118.88,30.09,1
118.88,30.01,2
118.88,29.98,7
118.88,30.09,4
118.89,29.51,4
118.89,29.36,3
118.89,29.83,8
118.89,30.23,1
118.89,30.74,3
118.89,30.94,3
118.89,30.54,4
118.89,29.71,6
118.89,29.31,2
118.89,29.25,1
118.89,30.78,3
118.89,29.31,1
118.89,30.2,3
118.89,30.23,2
118.89,30.04,2
118.89,29.67,8
118.9,30.49,2
118.9,30.65,4
118.9,29.09,3
118.9,29.74,6
118.9,30.09,3
118.9,29.55,2
118.9,29.69,7
118.9,29.94,8
118.9,29.14,2
118.9,29.18,4
118.9,30.79,3
118.9,30.22,1
118.91,29.43,3
118.91,29.77,6
118.91,29.87,7
118.91,29.12,4
118.91,29.73,5
118.91,30.33,3
118.91,30.3,2
118.91,29.48,3
118.91,30.83,3
118.91,29.28,2
118.92,29.44,4
118.92,30.33,2
118.92,29.6,8
118.92,29.12,2
118.92,29.84,8
118.92,30.86,2
118.92,29.22,3
118.92,29.13,2
118.92,29.03,4
118.92,29.47,1
118.92,29.6,6
118.92,29.53,3
118.92,29.88,8
118.92,29.8,8
118.92,30.73,4
118.92,30.45,2
118.92,29.38,3
118.93,29.01,1
118.93,30.35,4
118.93,30.45,3
118.93,29.81,8
118.93,30.6,4
118.93,30,2
118.93,29.33,2
118.93,30.95,1
118.93,30.45,1
118.93,30.67,3
118.93,29.72,6
118.93,30.3,1
118.93,29.62,7
118.93,30.52,4
118.93,29.65,8
118.93,29.99,8
118.93,30.11,2
118.94,29.13,2
118.94,29.75,5
118.94,29.13,4
118.94,29.2,4
118.94,29.03,3
118.94,30.99,3
118.94,29.57,1
118.94,29.1,2
118.94,29.28,2
118.94,30.41,4
118.94,29.06,3
118.94,30.07,1
118.94,30.19,2
118.94,29.12,1
118.95,30.88,4
118.95,29.08,2
118.95,30.34,3
118.95,30.7,4
118.95,29.3,2
118.95,29.15,1
118.95,29.1,1
118.95,29.81,6
118.95,29.13,3
118.95,29.13,1
118.95,30.14,3
118.95,29.72,6
118.95,30.76,2
118.95,29.9,6
118.96,30.09,1
118.96,29.94,5
118.96,30.59,4
118.96,29.16,4
118.96,30.78,1
118.96,29.88,6
118.96,29.31,2
118.96,30.61,2
118.96,29.73,6
118.96,29.17,1
118.96,29.35,3
118.96,30.64,1
118.96,30.92,4
118.96,29.89,5
118.96,30.5,1
118.97,29.04,2
118.97,29.3,3
118.97,29.88,5
118.97,30.08,1
118.97,29.15,2
118.97,29.54,4
118.97,29.84,8
118.97,30.2,2
118.97,29.24,1
118.97,29.22,4
118.97,29.84,5
118.97,30.68,4
118.97,30.89,3
118.97,29.48,2
118.97,29.35,2
118.97,29.5,2
118.97,29.98,5
118.97,29.04,3
118.97,30.86,4
118.98,30.96,1
118.98,29.7,5
118.98,30.24,2
118.98,29.19,4
118.98,30.53,3
118.98,29.19,1
118.98,30,3
118.98,30.94,4
118.98,29.09,3
118.98,29.93,8
118.98,29.55,4
118.98,29.29,3
118.98,29.11,3
118.98,29.34,3
118.98,30.29,3
118.98,29.55,4
118.98,29.04,4
118.98,30.81,4
118.98,29.21,3
118.98,29.46,4
118.98,30.42,4
118.98,29.38,3
118.98,30.93,2
118.98,30.88,3
118.98,29.48,3
118.98,29.48,4
118.99,29.05,3
118.99,30.41,1
118.99,30.22,1
118.99,29.27,3
118.99,30.68,1
118.99,29.28,2
118.99,29.33,3
118.99,30.13,2
118.99,29.63,8
118.99,30.43,1
118.99,30.69,2
118.99,29.71,5
118.99,30.84,3
118.99,30.81,3
118.99,30.06,3
118.99,29.65,6
118.99,30.94,2
118.99,30.78,2
119,29.25,2
119,29.47,1
119,29.85,7
119,29.78,5
119,30.37,2
119,29.51,4
119,29.93,6
119,29.96,5
119,30.65,1
119,30.42,4
119,30.34,3
119,30.03,1
119,29.07,2
119,30.85,2
119,29.94,8
119.01,30.76,1
119.01,29.03,2
119.01,29.41,3
119.01,30.34,4
119.01,29.33,1
119.01,29.41,1
119.01,30.46,4
119.01,30.67,4
119.01,29.37,1
119.01,30.48,1
119.01,29.8,5
119.01,30.93,4
119.01,30.35,2
119.02,30.89,1
119.02,29.01,3
119.02,29.86,5
119.02,29.94,8
119.02,30.89,4
119.02,29.09,1
119.02,29.11,1
119.02,30.66,4
119.02,29.67,5
119.02,29.11,4
119.02,29.23,1
119.02,29.39,2
119.02,29.79,5
119.02,30.38,4
119.03,30.21,3
119.03,29.29,3
119.03,30.77,1
119.03,29.18,3
119.03,29.35,3
119.03,29.17,3
119.03,29.3,2
119.03,29.42,4
119.03,30.31,1
119.03,29.82,8
119.03,29.65,5
119.03,29.56,2
119.04,30.41,3
119.04,29.57,3
119.04,30.84,3
119.04,29.83,8
119.04,29.37,1
119.04,29.98,6
119.04,30.91,4
119.04,30.14,3
119.04,30.23,2
119.04,30.07,3
119.04,29.47,3
119.04,30.07,1
119.04,29.4,1
119.04,29.78,7
119.04,30.3,1
119.04,30.25,1
119.05,30.61,4
119.05,31,3
119.05,29.23,4
119.05,30.01,2
119.05,29.22,4
119.05,29.4,1
119.05,30.09,3
119.05,30.23,3
119.05,29.16,1
119.05,30.4,4
119.05,30.73,3
119.06,29.69,7
119.06,29.26,1
119.06,29.07,3
119.06,29.85,7
119.06,30.3,3
119.06,29.34,4
119.06,29.79,7
119.06,30.97,1
119.06,30.71,1
119.06,30.05,3
119.06,30.94,4
119.06,29.83,7
119.06,30.39,1
119.06,29.83,8
119.06,30.91,4
119.06,30.17,2
119.07,29.14,2
119.07,30.5,4
119.07,29.03,3
119.07,29.63,7
119.07,30.43,3
119.07,30.47,1
119.07,30.72,1
119.07,30.2,2
119.07,29.12,3
119.07,30,2
119.07,29.1,2
119.07,30.05,2
119.07,29.45,4
119.08,29.27,3
119.08,30.71,4
119.08,30.95,4
119.08,30.08,2
119.08,30.07,2
119.08,29.28,4
119.08,30.62,2
119.08,29.53,4
119.08,29.07,4
119.08,29.13,2
119.08,30.15,3
119.08,29.64,5
119.08,29.77,8
119.08,30.41,1
119.08,30.24,4
119.08,30.79,1
119.09,30.96,3
119.09,30.93,1
119.09,30.65,1
119.09,30.26,3
119.09,30.89,4
119.09,29.98,7
119.09,30.31,1
119.09,30.63,1
119.09,29.87,7
119.09,30.77,1
119.09,30.3,1
119.09,29.37,3
119.09,29.5,2
119.09,30.21,4
119.09,30.29,4
119.09,29.87,5
119.09,29.15,3
119.09,30.63,2
119.1,30.18,2
119.1,29.79,7
119.1,30.3,4
119.1,30.35,3
119.1,30.74,3
119.1,30.98,2
119.1,30.88,2
119.1,30.95,1
119.1,29.16,3
119.1,30.99,2
119.1,30.07,3
119.1,30.9,2
119.1,30.36,3
119.1,30.92,3
119.1,30.09,2
119.1,30.54,2
119.1,30.59,1
119.1,29.63,7
119.1,30.15,4
119.1,29.65,8
119.11,29.58,3
119.11,30.5,1
119.11,30.04,4
119.11,29.76,6
119.11,30.14,1
119.11,29.85,7
119.11,30.74,4
119.11,30.91,2
119.11,30.08,3
119.11,29.37,3
119.11,30.04,2
119.11,29.74,5
119.11,30.19,3
119.12,29.63,7
119.12,30.57,4
119.12,29.16,2
119.12,29.92,5
119.12,29.39,2
119.12,30.39,4
119.12,29.19,2
119.12,30.71,4
119.12,30.38,4
119.12,30.61,3
119.12,30.87,3
119.12,30.45,1
119.12,30.87,1
119.12,30.09,1
119.12,30.3,2
119.12,30.03,3
119.12,29.02,2
119.12,29.16,1
119.13,30.66,1
119.13,29.76,7
119.13,29.8,6
119.13,30.51,3
119.13,30.32,2
119.13,30.31,4
119.13,30.09,1
119.13,29.65,7
119.13,30.8,4
119.13,30.57,4
119.13,29.41,2
119.13,30.58,2
119.13,30.29,4
119.13,29.5,2
119.13,30.85,2
119.13,29.34,1
119.13,30.07,3
119.13,30.56,4
119.13,29.49,3
119.13,29.2,2
119.13,29.11,2
119.13,29.15,3
119.13,29.9,6
119.14,30.66,2
119.14,30.12,2
119.14,29.42,3
119.14,29.28,1
119.14,30.21,3
119.14,30.96,3
119.14,29.54,3
119.14,30.26,1
119.14,30.53,3
119.14,30.9,1
119.14,30.71,1
119.14,29.63,5
119.14,29.14,3
119.14,29.61,5
119.15,30.23,1
119.15,29.37,1
119.15,30.79,3
119.15,30.01,1
119.15,30.18,3
119.15,30.25,1
119.15,30.44,3
119.15,30.28,3
119.15,29.99,7
119.15,29.6,8
119.15,30.12,3
119.15,29.05,4
119.15,30.66,2
119.16,29.31,3
119.16,30.06,3
119.16,30.86,1
119.16,29.71,7
119.16,29.05,2
119.16,29.95,6
119.16,29.87,5
119.16,29.09,4
119.16,29.93,7
119.16,29.88,6
119.16,30.27,4
119.16,30.05,3
119.16,30.31,2
119.16,30.5,1
119.16,29.82,7
119.16,30.3,4
119.16,30.78,1
119.16,29.42,4
119.16,30.37,2
119.17,30.13,2
119.17,29.77,6
119.17,30.45,4
119.17,30.24,3
119.17,29.19,1
119.17,29.55,2
119.17,29.05,2
119.17,30.69,1
119.18,30.4,4
119.18,29.55,3
119.18,29.24,3
119.18,29.88,5
119.18,30.28,3
119.18,30.39,1
119.18,30.67,3
119.18,30.38,2
